item_id,item_name,quantity,unit,days_until_expiry
milk,Milk,0.0,carton,
yogurt,Yogurt,1.0,cup,0
eggs,Eggs,0.1,dozen,8
bread,Bread,0.0,loaf,
rice,Rice,0.0,package,
pasta,Pasta,0.5,package,178
tomatoes,Tomatoes,0.2,kg,1
cucumbers,Cucumbers,0.1,kg,1
chicken,Chicken,0.3,kg,0
coffee,Coffee,0.3,package,
olive_oil,Olive Oil,0.15,bottle,
cat_food,Cat Food,0.1,bag,
bananas,Bananas,0.6,kg,2
apples,Apples,0.9,kg,5
potatoes,Potatoes,1.1,kg,12
onions,Onions,0.6,kg,12
cheese,Cheese,0.64,package,10
cereal,Cereal,0.76,package,88
flour,Flour,0.74,package,178
tuna,Tuna,1.34,package,363
frozen_vegetables,Frozen Vegetables,1.0,package,118
toilet_paper,Toilet Paper,1.24,package,
dish_soap,Dish Soap,0.74,bottle,
laundry_detergent,Laundry Detergent,0.66,bottle,
