supplier_id,supplier_name,supplier_type,item_id,unit_price,available,delivery_channel,delivery_fee,minimum_order,earliest_available_day
shufersal,Shufersal,supermarket,milk,7.5,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,yogurt,4.5,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,eggs,15,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,bread,12,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,rice,13,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,pasta,8,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,tomatoes,9,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,cucumbers,8,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,chicken,38,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,coffee,24,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,olive_oil,39,true,direct_delivery,25,150,1
shufersal,Shufersal,supermarket,cat_food,52,true,direct_delivery,25,150,1
ampm,AM:PM,convenience_store,milk,9,true,wolt,18,0,0
ampm,AM:PM,convenience_store,yogurt,6,true,wolt,18,0,0
ampm,AM:PM,convenience_store,eggs,18,true,wolt,18,0,0
ampm,AM:PM,convenience_store,bread,15,true,wolt,18,0,0
ampm,AM:PM,convenience_store,rice,17,true,wolt,18,0,0
ampm,AM:PM,convenience_store,pasta,11,true,wolt,18,0,0
ampm,AM:PM,convenience_store,tomatoes,12,true,wolt,18,0,0
ampm,AM:PM,convenience_store,cucumbers,11,true,wolt,18,0,0
ampm,AM:PM,convenience_store,chicken,48,true,wolt,18,0,0
ampm,AM:PM,convenience_store,coffee,31,true,wolt,18,0,0
ampm,AM:PM,convenience_store,olive_oil,49,true,wolt,18,0,0
ampm,AM:PM,convenience_store,cat_food,65,true,wolt,18,0,0
osher_ad,Osher Ad,discount_supermarket,milk,7,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,yogurt,4,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,eggs,13,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,bread,10,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,rice,11,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,pasta,6.5,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,tomatoes,7.5,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,cucumbers,7,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,chicken,34,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,coffee,20,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,olive_oil,34,true,direct_delivery,30,250,2
osher_ad,Osher Ad,discount_supermarket,cat_food,46,true,direct_delivery,30,250,2
